"x","y","r","area","estado","angulo"
592.363769896586,637.918879081009,6,113.04,1,124.256281955616
612.022969711211,626.32377446999,4.875,74.6240625,1,114.752534032079
635.229134009042,596.092907203551,8.25,213.71625,1,122.441614717499
747.377144092189,630.664965713649,6,113.04,1,83.9758343919339
769.171887212447,662.669774316012,6.56,135.125504,1,78.6021356589567
781.597015579357,672.646768355591,9.375,275.9765625,1,86.0597015614775
768.933439125336,645.210827011905,9.375,275.9765625,1,88.0549402723423
779.842680420759,656.044989617212,6,113.04,1,91.1421776924517
742.389777693888,615.23748943797,9.375,275.9765625,1,94.7711794255802
759.853026339855,632.116159064787,6.56,135.125504,1,90.5019371182555
773.714891065391,628.834584544692,7.685,185.4459665,1,102.461707587318
785.399584186461,644.154386371845,7.125,159.4040625,1,102.03833368262
787.067531566041,685.80488200609,4.875,74.6240625,1,88.2170982738867
786.668356171243,696.107151610609,5.435,92.7531665,1,86.7557388880309
791.662435710335,660.293163918549,6.56,135.125504,1,99.8931176405587
796.871961964555,678.885839835334,7.125,159.4040625,1,99.1462796796801
762.855311401079,618.76454832259,7.125,159.4040625,1,102.713138305474
787.769483804144,726.699713473876,12.185,466.2090665,1,91.7407051795054
792.167914364737,704.827871745802,4.875,74.6240625,1,92.2942727580617
799.187522811082,695.095189830728,7.125,159.4040625,1,99.3087198799557
804.098104000181,712.621014581806,9.375,275.9765625,1,104.860408474822
757.260419240516,602.051146313673,10.5,346.185,1,113.458069567859
732.167067356075,601.579532293903,7.685,185.4459665,1,103.543752519296
808.88552774605,685.439728926072,6.56,135.125504,1,109.854720637222
810.861677919053,732.502012238965,11.625,424.3415625,1,115.527885943653
764.436551454831,774.799298134492,13.31,556.270154,1,98.7269171239725
812.31339834881,698.966961565746,6.56,135.125504,1,112.318149099177
681.208125836136,774.787616757037,6.56,135.125504,1,77.1123994879419
751.188760055976,639.821338170764,3.75,44.15625,1,79.0048131168334
669.450121745682,782.829343238886,7.685,185.4459665,1,88.2836064212313
709.99868615412,607.348867428466,5.435,92.7531665,1,93.1890878354144
717.753483473422,598.94515732301,6,113.04,1,102.602472698821
685.913926847035,785.209452576403,4.875,74.6240625,1,86.3658975825581
656.973165423596,773.74952927971,7.125,159.4040625,1,85.3832627781581
636.8705629975,771.974989513121,12.75,510.44625,1,95.7377925986729
731.510200441632,774.725560004801,6,113.04,1,81.0974848555913
744.063966114344,774.329873974442,6.56,135.125504,1,86.4092777124225
712.823640205117,791.525811808974,9.935,309.9312665,1,92.4198029396412
693.878305098154,793.414810830197,6.56,135.125504,1,93.615180558031
678.440610864189,794.598251659381,7.125,159.4040625,1,97.023896422072
654.3496059596,789.467072368211,8.81,243.714554,1,100.440606898716
730.826598041015,788.959153639504,8.25,213.71625,1,94.148872340773
716.021010353521,637.586108671371,3.75,44.15625,1,64.4373075440736
725.051457060696,802.596743113361,6.56,135.125504,1,105.610923669537
761.631185441381,687.791213477812,3.1875,31.902890625,1,62.828795048562
687.698213259417,806.873732215835,8.25,213.71625,1,107.579405997397
666.149679339233,735.012048520907,3.1875,31.902890625,1,48.6999769041746
665.76571100883,799.758303854526,6.56,135.125504,1,105.468979945114
748.505961394953,786.675038125925,6.56,135.125504,1,99.3246722872982
758.877444645851,792.701011920785,5.435,92.7531665,1,109.818172900312
742.350599078781,798.261492059577,6.56,135.125504,1,106.999504971313
712.053062625084,809.694478110967,8.25,213.71625,1,110.354677502504
788.389963377899,746.560023267496,7.685,185.4459665,1,99.9030599762398
787.577746195612,761.347734491644,7.125,159.4040625,1,106.927106740809
797.732792246414,754.954375460111,4.875,74.6240625,1,112.123512531902
626.817329770735,755.162523166285,6,113.04,1,91.6439151496497
631.878224805118,729.231365608676,3.75,44.15625,1,74.128597660081
614.726516086446,750.477093783874,6.56,135.125504,1,99.0934107578359
601.885624869061,745.745208563026,7.125,159.4040625,1,108.254582876705
736.744224647197,812.57251807915,8.81,243.714554,1,118.417523498865
617.944189818287,761.450051487038,4.875,74.6240625,1,102.514705346779
580.599474164056,694.539480512465,11.06,384.096104,1,119.525323019742
607.113710150359,760.467028006855,6,113.04,1,110.833768852337
590.009222161774,670.903026308635,6,113.04,1,113.774360413293
607.609972442703,613.36982989283,8.81,243.714554,1,126.651899175794
590.161924544862,650.372460457212,6.56,135.125504,1,120.529230897569
592.725304909913,625.364083485933,6.56,135.125504,1,130.684276944726
574.338392346759,640.323039888065,12.185,466.2090665,1,139.112110206835
778.06002410764,740.03740062915,4.3125,58.396640625,1,87.7289052298293
579.803786956055,660.957595585842,8.25,213.71625,1,126.378158605607
617.084057070682,597.84771839143,9.375,275.9765625,1,131.568013702778
689.470346671334,589.354959533811,6,113.04,1,111.144944010002
